192.168.1.10 - - [18/Oct/2020:01:30:42] "GET /index.html HTTP/1.1" 200 1043
10.0.0.15 - - [18/Oct/2020:01:31:10] "POST /login HTTP/1.1" 302 512
172.16.0.23 - - [18/Oct/2020:01:32:05] "GET /dashboard HTTP/1.1" 200 8421
203.0.113.8 - - [18/Oct/2020:01:33:44] "GET /favicon.ico HTTP/1.1" 404 209
198.51.100.17 - - [18/Oct/2020:01:35:01] "GET /api/users HTTP/1.1" 200 1532
192.168.1.11 - - [18/Oct/2020:01:36:27] "DELETE /api/users/12 HTTP/1.1" 403 721
10.0.0.18 - - [18/Oct/2020:01:37:55] "PUT /api/users/15 HTTP/1.1" 200 884
172.16.0.45 - - [18/Oct/2020:01:39:12] "GET /reports/summary HTTP/1.1" 500 128
203.0.113.9 - - [18/Oct/2020:01:40:46] "GET /static/app.js HTTP/1.1" 200 12045
198.51.100.21 - - [18/Oct/2020:01:42:03] "GET /logout HTTP/1.1" 200 640
192.168.1.12 - - [18/Oct/2020:01:44:19] "GET /admin HTTP/1.1" 401 333
10.0.0.20 - - [18/Oct/2020:01:45:50] "POST /upload HTTP/1.1" 201 2457
172.16.0.50 - - [18/Oct/2020:01:47:22] "GET /images/logo.png HTTP/1.1" 200 5321
203.0.113.15 - - [18/Oct/2020:01:49:11] "GET /contact HTTP/1.1" 200 998
198.51.100.30 - - [18/Oct/2020:01:50:37] "PATCH /api/profile HTTP/1.1" 200 777
192.168.1.14 - - [18/Oct/2020:01:52:04] "GET /settings HTTP/1.1" 200 4120
10.0.0.22 - - [18/Oct/2020:01:54:28] "GET /does-not-exist HTTP/1.1" 404 187
172.16.0.60 - - [18/Oct/2020:01:56:42] "POST /api/orders HTTP/1.1" 201 1430
203.0.113.19 - - [18/Oct/2020:01:58:15] "GET /api/orders/55 HTTP/1.1" 200 1644
198.51.100.44 - - [18/Oct/2020:02:00:00] "GET /health HTTP/1.1" 200 56
198.51.100.44 - - [18/Oct/2020:02:00:00] "GET /health HTTP/1.1" 200 56
198.51.100.44 - - [18/Oct/2020:02:00:00] "GET /health HTTP/1.1" 200 56
10.0.0.15 - - [18/Oct/2020:01:31:10] "POST /login HTTP/1.1" 302 512
172.16.0.23 - - [18/Oct/2020:01:32:05] "GET /dashboard HTTP/1.1" 200 8421
203.0.113.8 - - [18/Oct/2020:01:33:44] "GET /favicon.ico HTTP/1.1" 404 209
198.51.100.17 - - [18/Oct/2020:01:35:01] "GET /api/users HTTP/1.1" 200 1532
192.168.1.11 - - [18/Oct/2020:01:36:27] "DELETE /api/users/12 HTTP/1.1" 403 721
10.0.0.18 - - [18/Oct/2020:01:37:55] "PUT /api/users/15 HTTP/1.1" 200 884
172.16.0.45 - - [18/Oct/2020:01:39:12] "GET /reports/summary HTTP/1.1" 500 128
203.0.113.9 - - [18/Oct/2020:01:40:46] "GET /static/app.js HTTP/1.1" 200 12045
198.51.100.21 - - [18/Oct/2020:01:42:03] "GET /logout HTTP/1.1" 200 640
192.168.1.12 - - [18/Oct/2020:01:44:19] "GET /admin HTTP/1.1" 401 333
10.0.0.20 - - [18/Oct/2020:01:45:50] "POST /upload HTTP/1.1" 201 2457
172.16.0.50 - - [18/Oct/2020:01:47:22] "GET /images/logo.png HTTP/1.1" 200 5321
203.0.113.15 - - [18/Oct/2020:01:49:11] "GET /contact HTTP/1.1" 200 998
198.51.100.30 - - [18/Oct/2020:01:50:37] "PATCH /api/profile HTTP/1.1" 200 777
192.168.1.14 - - [18/Oct/2020:01:52:04] "GET /settings HTTP/1.1" 200 4120
10.0.0.22 - - [18/Oct/2020:01:54:28] "GET /does-not-exist HTTP/1.1" 404 187
172.16.0.60 - - [18/Oct/2020:01:56:42] "POST /api/orders HTTP/1.1" 201 1430
203.0.113.19 - - [18/Oct/2020:01:58:15] "GET /api/orders/55 HTTP/1.1" 200 1644
